No.	NAME	MW	AMW	nN	Rbrid	nR05	PJI2	Psi_i_0d	ChiA_X	MATS6m	MATS7v	P_VSA_MR_3	P_VSA_MR_7	Eig08_EA(dm)	Eig09_EA(dm)	Eig13_EA(dm)	Eig12_AEA(bo)	Mor13s	Molecule	U	V
1	*****	152.2	7.61	0	3	1	0.666666666666667	0.00185277980015679	0.997656728563608	0.785714285714285	1.5	0	18.9524949468603	0	0	0	-0.5	-1.36978867548821	Acenaphthalene.mol2	1.33	-0.46
2	*****	102.14	7.29571428571429	0	0	0	0.666666666666667	0.0245352338435213	0.997064155650224	0.166666666666667	1.33333333333333	0	17.0305737751103	0	0	0	0	-0.24510200933249	Acetylene,phenyl	-1.88	0.37
3	*****	70.1	6.37272727272727	0	0	0	0.5	-0.154648746574318	0.99721028347194	0	0	0	11.4241498549724	0	0	0	0	0.603621366310295	Acrolein,methyl.mol2	1.73	0.77
4	*****	56.07	7.00875	0	0	0	0.5	0.277665703530645	0.997737175110326	0	0	0	20.9003973284025	0	0	0	0	0.192987814190179	Acrolein.mol2	-2.75	0.59
5	*****	323.63	5.05671874999999	1	0	0	0.909090909090909	0	0.998792296440028	0.00240982197490176	0.00155442851937036	0	9.47624747343013	0	0	0	0.923548671749526	3.66693599416716	Acrylamide,N-octadecyl.mol2	1.56	0.35
6	*****	71.09	7.109	1	0	0	0.5	-0.17619858341668	0.99721028347194	0	0	0	9.47624747343013	0	0	0	0	0.521831618407461	Acrylamide.mol2	-1.82	-0.07
7	*****	173.19	7.53	1	0	0	0.75	0.00289990041503208	0.99476877527938	0.121205147893476	-0.295965006716216	50.7469140783068	9.47624747343013	0	-0.61245154965971	0	0	5.67659247186797	Acrylate,2-nitrobutyl.mol2	-2.39	0.44
8	*****	162.2	7.37272727272727	0	0	0	0.75	0.00243864533158925	0.995743646029304	-0.0436647213049715	0.0504629136363624	0	0	0	0	0	-0.781150599701064	1.24650086146089	Acrylate,a-phenyl,methyl.mol2	-2.13	1.2
9	*****	162.2	7.37272727272727	0	0	0	1	0.00241292379500129	0.997967518561014	0.0354380089698755	-0.360292356705624	0	9.47624747343013	0	0	0	-0.818896169289495	0.520403577805585	Acrylate,benzyl.mol2	-2.68	0.28
10	*****	128.19	6.10428571428572	0	0	0	0.75	-0.0144754008183575	0.996678815210077	-0.156732729637384	-0.225497502428121	0	9.47624747343013	-1.67439541327609	0	0	0	0.890367143458362	Acrylate,butyl.mol2	-2.22	0.12
11	*****	100.13	6.67533333333334	0	0	0	0.666666666666667	-0.0515721103025694	0.994833801481368	0.160476047741259	0.815834039892152	0	9.47624747343013	0	0	0	0	1.14978110570392	Acrylate,ethyl.mol2	-1.99	0.08
12	*****	86.1	7.175	0	0	0	1	0.0968194394967894	0.994169105960558	0.955533599160184	0	0	9.47624747343013	0	0	0	0	1.07842331897028	Acrylate,methyl.mol2	-2.34	0.16
13	*****	184.31	5.58515151515151	0	0	0	0.833333333333334	-0.00110263434874757	0.997785876806718	0.00282099238868407	0.00744557688580135	0	9.47624747343013	0	0	0	-0.930300765108601	1.65242074679711	Acrylate,Ocytl.mol2	3.01	0.41
14	*****	324.61	5.15253968253968	0	0	0	0.909090909090909	0	0.998792296440028	0.00256506511557669	0.00192044100534882	0	9.47624747343013	0	0	0	0.923548671749526	3.1400320518073	Acrylate,Ocytldecyl.mol2	-3.01	0.24
15	*****	134.57	8.97133333333333	0	0	0	1	0.0301809489153425	0.996204360240088	0.148458927509569	0.248661509965683	0	48.6248915352121	0	0	0	0	0.784227808524092	Acrylate,2-chloroethyl.mol2	2.38	0.25
16	*****	120.54	10.045	0	0	0	1	-0.0580185366406235	0.994674845697604	0.859318243095812	0	0	42.6492505934412	0	0	0	0	0.740250321891378	Acrylate,a_chloro-,methyl.mol2	-1.55	0.64
17	*****	111.11	8.54692307692308	1	0	0	0.666666666666667	0.0340636612788778	0.993020079871517	0.647299695385483	0	0	0	0	0	0	0	0.993363990967807	Acrylate,a_cyano-,methyl.mol2	-1.09	1.2
18	*****	90.51	11.31375	0	0	0	0.5	-0.17705179554079	0.99721028347194	0	0	0	9.47624747343013	0	0	0	0	1.75827283770776	Acryloylchloride.mol2	3.5	1.09
