No.	NAME	MW	AMW	Mi	nTA	RBF	nDB	nN	nS	nCsp	BLI	PJI2	Wap	Psi_i_0d	X3A	X5A	IVDE	rGes	SIC3	CIC5	VE1sign_A	VE1sign_D	VE1sign_Dz(Z)	VE1sign_Dz(v)	VE1sign_Dz(e)	SpMax_B(m)	VE1sign_B(s)	MATS2m	MATS4m	MATS7m	MATS6v	MATS1e	MATS8e	MATS1p	MATS4p	MATS5p	MATS2i	MATS4i	MATS1s	GATS2e	GATS3s	JGI7	JGI8	P_VSA_LogP_4	P_VSA_LogP_5	P_VSA_LogP_8	P_VSA_MR_2	P_VSA_MR_3	P_VSA_MR_5	P_VSA_MR_7	P_VSA_MR_8	P_VSA_ppp_D	Eta_betaS_A	SpMax_AEA(dm)	Chi1_EA(dm)	SM03_EA(dm)	SM13_AEA(bo)	SM14_AEA(bo)	Eig03_EA(dm)	Eig04_EA(dm)	Eig05_EA(dm)	Eig07_EA(dm)	Eig08_EA(dm)	Eig09_EA(dm)	Eig11_EA(dm)	Eig09_AEA(bo)	Eig12_AEA(bo)	Eig13_AEA(bo)	Eig02_AEA(dm)	PJI3	HOMA	DISPe	DISPi	VE2sign_G	VE1_RG	VE1sign_G/D	RDF035u	RDF030m	RDF035m	RDF040m	RDF045m	RDF030v	Mor16m	Mor17m	Mor29m	Mor04v	Mor30v	Mor10e	Mor32i	Mor08s	Mor10s	Mor11s	Mor16s	Mor24s	E1u	L3m	G2m	E2v	E1p	E2i	Dp	HATS3u	HATS4v	REIG	nRCOX	nRCHO	nROR	nR=CRX	C-003	C-006	C-018	C-028	C-038	H-047	H-049	H-051	SdsN	NdsCH	NssssC	CATS2D_03_AL	B02[N-O]	B04[C-S]	B05[C-N]	B06[C-Cl]	Hypnotic-80	U
1	*****	70.1	6.37272727272727	1.13227272727273	3	0.1	2	0	0	0	1.0334480891877	0.5	18	-0.154648746574318	0.408248290463863	0	1.37095059445467	1	0.731581783399113	0	0.28322724867526	0.0608101632196413	0.0349540731553957	0.0265472559996497	0.0346221866037382	3.33883178691722	0.310080738167938	0.0591161649082935	0.101999467068274	0	0	0	0	-0.174138199982251	0.562005240320832	0	0.0734179809283027	0.571770785658553	-0.0786018650783103	0.722260246950812	0.723164169908845	0	0	48.3401788839805	3.18557495074005	0	25.1449270324178	0	8.82520426189009	11.4241498549724	0	0	0.45	2.97742657984486	0.690987491028478	0	0	0	0	0	0	0	0	0	0	0	0	0	1.89879199470483	0.888240200166806	-0.1673927	0.245934180193067	0.100509604494142	0.00743878945805918	2.37131045845011	0.0295304769862931	3.76079158236752	0.10768492063729	0.294193497095365	0.202229736623707	0.103753989528893	0.171038382470924	-0.130949164521555	0.0718270889548767	-0.0507953794214125	-0.262097026333057	-0.0117749577843873	-0.512002722480189	0.145249816303114	2.77365620112228	-2.2253914633678	-0.502238374221307	-1.64145458889018	0.0821230882618825	0.590974451067455	0.0227772717564289	0.224243824217575	0.240863644312999	0.381523793278869	0.524783138216299	0.257092573708134	0.617987977139667	0.220501309820635	1.05953969962814	0	1	0	0	0	0	0	0	0	2	1	0	0	1	0	2	0	0	0	0	0	-2.75
2	*****	56.07	7.00875	1.129975	2	0.142857142857143	2	0	0	0	0.977283884192713	0.5	10	0.277665703530645	0.5	0	1	1	0.791666666666667	0	0	0	0.0122440883729538	0.016966212593193	0.012073979374279	3.16294516105664	0.12106794318127	-0.290480768902763	-0.239480423807844	0	0	-0.00133381949917082	0	-0.236590886445383	0.573009271267593	0	-0.347320637411651	0.601346480720918	-0.099273607748184	0.886925489857823	0.860169491525424	0	0	48.3401788839805	0	0	25.1449270324178	0	0	20.9003973284025	0	0	0.4375	2.80787468413177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.742809424296206	0.890114552397115	0.0231792399999997	0.30499432062543	0.0432994296974142	0.00435077441978403	2.39897504086261	0.0245003027598999	1.43979784272755	0.0036231123741295	1.0431507023438	0.0581414808747084	0.0914999364710569	0.0354625763920739	-0.0419880386128765	0.0437621329112265	-0.0372644884111301	-0.321447875082684	0.00138522968614261	-0.268853136984846	0.170920226856447	1.78101181097945	-1.35941394693275	-0.815993893885701	-0.529968735527242	-0.296697741403149	0.54140855051169	0	0.25	0.116491024550625	0.380752103471593	0.48736236557079	0.191154520560421	0.67642771293169	0.0598832110306315	0.725806096942474	0	1	0	0	0	0	0	0	0	3	1	0	0	2	0	1	0	0	0	0	0	-1.73
3	*****	71.09	7.109	1.15381	3	0.111111111111111	2	1	0	0	0.892292028664066	0.5	18	-0.17619858341668	0.408248290463863	0	1.37095059445467	1	0.879588001734408	2.39315685693242	0.283227248675261	0.0608101632196416	0.0271651442887763	0.0916677138651563	0.0258754581368091	3.378685633275	0.0427647810227775	0.125234359810528	-0.578390955275892	0	0	-0.19272617195307	0	0.00275014029815774	-0.0491061516341051	0.637940214661571	-0.327775885796248	0.115910633364102	-0.317392832453369	0.465606833380701	1.49225076616391	0	0	29.8495769674851	0	0	25.1449270324178	0	32.8971874720655	9.47624747343013	0	32.8971874720655	0.5	3.3830196411499	2.35129028358796	0	0	0	0	-0.979795897113272	0	0	0	0	0	0	0	0	0.78904373991638	0.632486388384755	-0.0303020400000003	0.215096766275367	0.508535134184185	0.00168674662495091	2.0670390092165	0.0237991252893232	1.63835298470516	0.131981031810601	0.384333962083278	0.203241953244275	0.174402759798545	0.108443786492351	-0.0417393704146175	0.0904849356546186	-0.0335306717454268	-0.259149004939591	0.00245526029864902	-0.271887094929886	0.107337337063027	1.40745115489887	0.0704188132988694	-1.53192600902809	-0.386808891214349	0.0860819666622726	0.574107341763836	0	0.313169707848513	0.25845644925078	0.388402743741287	0.482370793038928	0.312280940305398	1.35481089662318	0.147729190249764	1.04778454248371	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	1	0	0	0	0	-1.82
4	*****	173.19	7.53	1.14834347826087	5	0.272727272727273	4	1	0	0	0.965672038267882	0.75	225	0.00289990041503208	0.245720509232544	0.0992004050331746	1.5545851693378	0.916666666666667	0.877406271524928	0.55456032618102	0.185950415013014	0.093663111369984	0.0665496652857878	0.0716310492146979	0.0663354190476693	3.69116657414404	0.117112186412505	0.0900637774389096	-0.322431395938706	-0.366268403845493	-0.0811751195660521	0.181474744906779	-0.0954395408677544	-0.171653145601893	0.0912320417527639	0.116768618917113	-0.237793859780056	0.100469798119563	-0.0139987245499909	0.632929363193484	0.810173895166788	0	0	32.3362575085443	10.9998878876064	50.7469140783068	59.6870189132048	50.7469140783068	15.9521208841343	9.47624747343013	0	0	0.583333333333334	3.78372456523028	6.7658497785615	2.36085400111803	0.26048821050009	-0.222939229423454	0	0	0	0	0	-0.61245154965971	-2	-0.263701715087043	0	0	3.55836537057106	0.777583951155692	0.0201099399999994	0.360207521742606	0.446029448904852	0.00950524571952365	2.76242292550401	0.123132697796888	9.65669756269463	2.84072516150543	2.04467358485933	2.60609266858367	5.7347843308908	2.43850370693117	-0.310730097050574	0.00133814217164446	-0.0979496512926287	0.0441277316023042	-0.0313428343934249	-0.323426035710753	0.0530115176326592	0.0857804137812794	2.32279884197533	-2.05155265667836	-1.0212879964252	-0.359138604474581	0.46471209620787	0.48732913257501	0.18104259678004	0.340520901166129	0.433915404514206	0.495341732859614	0.353535199331421	0.63001543553769	0.184437226101356	0.873640222999932	0	0	0	0	0	1	0	0	0	6	0	0	0	1	0	6	0	0	1	0	0	-2.34
5	*****	162.2	7.37272727272727	1.1134	2	0.181818181818182	2	0	0	0	0.914520960808396	1	510	0.00241292379500129	0.232625502227169	0.100441614710957	1.25162916738782	0.833333333333334	0.849604890937035	0.545454545454546	0.0478786749254159	0.0900821874713371	0.116603520729305	0.222601433357147	0.117361465424278	3.57910564687177	0.143013345070825	-0.0769474000019855	-0.226535277390568	-0.374837633996936	0.128785121928668	-0.00435725022329079	0.0244176748019446	-0.0894641177203125	0.0453351821295348	0.0657786055871695	-0.0821445573190352	0.0624253602398129	-0.0954753273433939	0.838192734378104	0.752680693996586	0.0177951388888889	0.0204081632653061	32.3362575085443	14.1854628383465	0	36.1448149200242	0	4.5923848830442	9.47624747343013	0	0	0.5625	3.57230873360223	6.90237190580588	0	0.709962782183471	0.159458160443815	0	0	0	0	0	0	-0.636015229285823	0.250892734717809	-0.818896169289495	0	2.75593224602791	0.768707482993197	0.646057553333332	0.212271955627837	0.318303236171102	0.00366154722616672	2.43886757201544	0.0533793301062893	5.84184442221817	0.13196200651196	1.1304376153219	0.853117687398879	0.364137080734636	0.265592080439	0.0286845971250377	0.0301883987320961	0.129277184785854	-0.258485393332315	-0.0152954171456592	-0.543624053335035	0.143184720383633	-0.469238577613987	-0.43035685239612	0.0118664204848967	0.320030414479644	0.7370299694969	0.565012559264673	0.0339788503663838	0.210991164384537	0.300188152993077	0.499424911810375	0.620093752660324	0.306905327986733	0.491791699357647	0.149999688755506	0.806845006071512	0	0	0	0	0	1	0	0	0	10	0	0	0	1	0	4	0	0	0	0	1	-2.38
6	*****	128.19	6.10428571428572	1.13857142857143	3	0.25	2	0	0	0	1.16285761173896	0.75	110	-0.0144754008183575	0.285342891530089	0.133768693627046	1.35164411515339	1	0.861718647156228	0.607375595341119	0.182574185835056	0.0897975787585357	0.21251813222787	0.122398515556466	0.211849172059406	3.42275096316386	0.0420176013304061	-0.0146802985205886	-0.188948950806728	-0.312590078536776	-0.167978293964449	0.00279514214825292	0.14736253741038	-0.233154442109914	0.076347301937199	0.0795947617325687	-0.205542940086081	0.0917983503661243	-0.0538385502829198	0.780500562441505	0.7098389403504	0	0	32.3362575085443	10.9998878876064	0	59.6870189132048	0	18.4866526233343	9.47624747343013	0	0	0.527777777777778	3.5635002347002	3.26123064625063	0	-0.419697203821761	-1.22456894237688	0	0	0	0	-1.67439541327609	0	0	0	0	0	1.97170467462311	0.774744027303754	-0.00625004000000118	0.236522043121246	0.267660784242001	0.00755951386039153	2.74177147117216	0.0243524805748121	2.49599687522416	0.0458423642609008	0.890417319452878	0.809967459611705	0.334534656702796	0.387610762125426	-0.134072686053422	-0.140310901329128	-0.00451887247609995	-0.102345601888296	-0.0504459452006379	-0.553714459876237	0.0689945895572589	1.86159546926811	-0.873121206512169	-0.774413394911782	-0.00539185574583908	-0.201738993600175	0.573293637746507	0.0499221129707636	0.185449023415369	0.32181452698257	0.537008104234992	0.562062928623841	0.343879432689769	0.768312542089955	0.0965793459774116	0.858264641091918	0	0	0	0	0	1	0	0	0	5	0	0	0	1	0	3	0	0	0	0	0	-2.39
7	*****	100.13	6.67533333333334	1.13864	3	0.214285714285714	2	0	0	0	1.05047681565195	0.666666666666667	50	-0.0515721103025694	0.295679567896047	0.204124145231932	1.44881563572518	1	0.85060775250094	1.10457791289203	0.215080984643472	0.0590165062219178	0.1226367327842	0.205476683512644	0.123438643102638	3.4211902949801	0.0991301220231633	0.0903398344487298	-0.683530820678077	0.840271859843361	-0.00319338414585531	-0.0192020156749613	0	-0.333827538795116	-0.05759354058213	-0.304670991285794	-0.182039726410401	0.00378671217957534	-0.111739831112755	0.864244246859239	0.955951978358059	0	0	32.3362575085443	10.9998878876064	0	71.4581209097951	0	13.4175891449343	9.47624747343013	0	0	0.535714285714286	3.56240660868263	3.26123064625063	0	-1.37378967337224	-1.73967730974164	0	0	0	0	0	0	0	0	0	0	1.81313672592563	0.827173347214993	-0.00625004000000118	0.16852900801802	0.263668308097688	0.00656048860149749	2.58351222356183	0.0306343506077124	1.72168012471509	0.017247135812886	0.855869066503174	0.492372639061944	0.375459110505067	0.128923917254789	-0.0776068579398843	-0.0683908413927139	0.0212761772013656	-0.303357948420111	-0.0407247572556606	-0.695784998723696	0.160025595006305	1.15044393574359	-1.69961202960716	-0.959243603817839	-0.401128434652121	-0.288130139798011	0.618553529670974	0.0318282442134421	0.203795047090506	0.367388331193028	0.530787020977159	0.571015707165199	0.330047760210499	0.949009706903347	0.119575582963615	0.961136276999032	0	0	0	0	0	1	0	0	0	5	0	0	0	1	0	2	0	0	0	0	0	-2.68
8	*****	86.1	7.175	1.1387	3	0.181818181818182	2	0	0	0	0.908052003591842	1	31	0.0968194394967894	0.348461712529338	0	1.45914791702724	1	0.84298098188371	1.75789479208734	0.125467544068446	0	0.00967410320625095	0.235262899506109	0.0114753357918308	3.41755849743541	0.13513538967244	0.125	-0.998701406213737	0	0.919255267874207	-0.0431814553296243	0	-0.425808543197469	0.0328530844961214	-0.455076965064235	0.125	0.130905735894171	-0.141792210763902	1.02098231404595	1.05896845978557	0	0	32.3362575085443	10.9998878876064	0	36.1448149200242	0	0	9.47624747343013	0	0	0.541666666666667	3.55201902526464	2.09843994857621	0	-1.6180339887499	0	0	0	-1.67439541327609	0	0	0	0	0	0	0	1.46104610279868	0.648376903188739	-0.00625004000000118	0.145903623422504	0.275558144098639	0.00287344797065595	2.09454200756722	0.0186137100595143	1.47756538182754	0.00838591614746934	0.696367000102876	0.333436009527599	0.241088815560523	0.0375524007300585	0.000878808986934684	-0.0469779422725549	0.0762298977708308	-0.304825740816589	-0.0443890574290017	-0.608560649091509	0.23669551956971	1.38670266385174	-1.28514157336051	-0.19054478299597	-0.364949333805599	-0.0988098981601865	0.643890983051263	0.0190406824336425	0.218104291985532	0.305867495475446	0.500062756534962	0.486101626029897	0.282303605070991	0.400220378825552	0.165233573129862	1.00756454304578	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	2	0	0	0	0	0	-2.22
9	*****	134.57	8.97133333333333	1.13490666666667	3	0.214285714285714	2	0	0	0	1.15527024679484	1	76	0.0301809489153425	0.291233373451771	0.164266426608915	1.40563906222957	1	0.897616790076074	0.920918746081136	0.136472310273775	0.0822341838336418	0.0853991801922062	0.153116513120586	0.152899990975828	3.56670125865077	0.0958943988961979	-0.171548687655551	-0.260828606978941	-0.325797276344697	0.166069218824754	-0.0455024618098568	0	-0.214074095779216	0.147142852741424	-0.137658622000726	-0.194694400176107	0.0542086201662357	-0.0989934679881663	1.01247298145271	0.973617320619516	0	0	32.3362575085443	10.9998878876064	0	36.1448149200242	0	7.44194820316332	48.6248915352121	0	0	0.5625	3.56432613322512	2.79161526826987	0	-1	-1.4142135623731	0	0	0	-1.67439541327609	0	0	0	0	0	0	2.26596683462525	0.930593836131296	0.00473384000000099	0.21273549137954	0.144729083233324	0.00332571117900323	2.49886709870443	0.0492453267482587	1.58322674280525	0.313726064599176	0.805524944806777	4.39760058031632	0.290673310483056	0.461057153984899	-0.00484775524867763	-0.0503384664425741	-0.0192707615911518	-0.196699975864369	-0.0194460237963849	-0.472120261411172	0.118737380734443	0.531199921709451	-1.50452490354454	-0.589161239288139	-0.447703867672463	-0.135401161660925	0.56512957521026	0.0239671847386173	0.227999639374739	0.304554960350126	0.693278583797965	0.573773783492665	0.358063063842785	0.955195989139445	0.125930170298373	0.928061210933061	0	0	0	0	0	2	0	0	0	7	0	0	0	1	0	3	0	0	0	1	0	-1.99
10	*****	53.07	7.58142857142857	1.1305	2	0	1	1	0	1	0.920530222808655	0.5	10	0.281928719157303	0.5	0	1	1	0.755369375111994	0	0	0	0.0419469465505902	0.0412639900921035	0.0419259895022374	3.31708190767226	0.0332375837474601	-0.109461465053689	-1.287271644945	0	0	-0.000142039124222265	0	-0.20504125249492	0.203387764598925	0	-0.403620247046085	0.914068610380045	-0.0615006150061501	0.469564232816011	0.994464944649447	0	0	16.6017463778953	31.0593557697155	0	0	0	31.0593557697155	9.47624747343013	0	0	0.4375	3.98671522458382	0.982946374365981	0	0	0	-2.03469899493758	0	0	0	0	0	0	0	0	0	1.40567849397597	0.75164664858582	0	0.226871515227933	0.18188599327249	0.0176869816381159	2.30900696315143	0.0211150565401797	2.31425208400665	0.00420838661180311	1.27890445104176	0	0.0938703316535606	0.0357233039113286	0.0230314491315278	-0.0370512357544112	0.0249195681438602	-0.335617969340178	0.03043263415027	-0.295798085999946	0.0940944285852231	1.39888789450496	-2.17796183554249	-0.725265912133861	-0.30584139149234	-0.0681302998398684	0.473691016731696	0	0.262649535037194	0.0883558954249423	0.388321126884062	0.3969034076749	0.176630571686538	0.756610827590438	0.0716279570390994	0.691135960612616	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	-2.6
