No.	NAME	MW	AMW	Mi	nTA	RBF	nDB	nN	nS	nCsp	nR05	Ram	BLI	PJI2	Psi_i_0d	X3A	X4A	X5A	IC1	VE1sign_Dz(e)	VE2sign_Dz(p)	VE1sign_B(s)	MATS6v	MATS1e	MATS4e	MATS7e	MATS8e	MATS4p	MATS5p	MATS2i	GATS3e	JGI7	P_VSA_LogP_5	P_VSA_LogP_8	P_VSA_MR_3	Chi1_EA(dm)	SM03_EA(dm)	SM15_AEA(dm)	Eig04_EA(dm)	Eig05_EA(dm)	Eig07_EA(dm)	Eig08_EA(dm)	Eig09_EA(dm)	Eig10_EA(dm)	Eig11_EA(dm)	Eig12_AEA(bo)	SpMaxA_G/D	VE1sign_G/D	RDF040m	Mor10u	Mor24u	Mor29m	Mor30v	Mor16s	Mor22s	G1u	G3u	E1u	E3v	E2e	Dp	ISH	HATS3u	HATS6m	HATS4s	R2u+	nROR	nArOR	nCH2RX	C-003	C-006	C-018	C-019	C-028	C-038	H-051	B04[C-N]	Molecule	U	V
1	*****	98.11	7.54692307692308	1.12803076923077	3	0.166666666666667	3	0	0	0	0	1	0.895660517353627	0.666666666666667	-0.0580245635422548	0.283756951253708	0.204124145231932	0.204124145231932	2.44162987378723	0.0748009613089498	0.0295716225980546	0.0499850115831932	-0.216497773543381	-0.13000878731501	-0.110537275602386	0.381519055707154	0	-0.0977481273263214	-0.153634519947876	-0.307418299304849	1.00233598069084	0	0	0	0	1.65079589947669	0	-4.04325802662837	0	0	0	0	0	0	0	0	0.955863897401487	0.0907290878101071	0.384200620267464	-0.359608860260838	-0.14438796361833	0.0126008016682358	0.0156323856986976	0.912454463829113	0.528262784242312	0.269129087609129	1	0.569242676316742	0	0.504585702915913	0.229486263546307	1	0.36215411889765	0.0261372699647235	0.959594001740454	0.122478217569953	0	0	0	0	0	0	0	0	0	0	0	butadiene,1-carboxylicacid.mol2	-2	0.94
2	*****	88.54	8.854	1.11896	3	0.111111111111111	2	0	0	0	0	1	1.21306764387434	0.5	-0.150717691592991	0.408248290463863	0	0	1.96096404744368	0.0389645575300379	0.00706782561549071	0.0898746696728542	0	0	-0.346373556750018	0	0	-0.549060178548055	0.960664481533781	-0.232203106029302	1.72460923113376	0	0	39.148644061782	0	0.641025641025641	0	0	0	0	0	0	0	0	0	0	0.983003320349216	0.0160832796202993	0.088004120939688	-0.338170842758155	-0.199695757902591	-0.0619958522984809	0.0211510376963087	-0.0181979733745211	-0.155287449236239	0.231378213159759	1	0.578489664624504	0	0.441471256781158	0.251879431776009	0.655458753541286	0.561027592322815	0	1.42456392180266	0.144889833555153	0	0	0	0	0	0	1	0	0	0	0	Butadiene,2-chloro-.mol2	-2.18	1.44
3	*****	72.09	7.209	1.15853	3	0.111111111111111	2	0	0	0	0	1	0.929594289117423	0.5	-0.171399904171583	0.408248290463863	0	0	1.96096404744368	0.0592331798486741	0.0623918121614761	0.0211860597453693	0	-0.00134501952774556	-0.279267250206575	0	0	-0.132890115201968	0.610578938594219	-0.362959402381399	1.7186447827314	0	0	0	0	0.662251655629139	0	0	0	0	0	0	0	0	0	0	0.953174536658206	0.0009381604368498	0.161642690148571	-0.561301872690153	-0.167530007937945	-0.00247422432887056	0.0287428617764889	-0.405082461374496	0.0723994583382875	0.405780650681983	1	0.577314436189495	0	0.531971475302086	0.197177092549581	0.655458753541286	0.53688261406791	0	2.00970471071514	0.151434574736069	0	0	0	0	0	0	1	0	0	0	0	Butadiene,2-fluoro-.mol2	-1.32	0.51
4	*****	198.24	7.08	1.13371428571429	4	0.259259259259259	4	0	0	0	0	2	1.01201784961848	0.833333333333334	0.000756153256050534	0.246676590689267	0.188322687825149	0.118770210331869	2.69238060245497	0	0	0	-0.0224017588604208	-0.0263483822637772	-0.293201168620524	0.863507981623251	0.112095091479206	-0.157396458761756	-0.0881208165985531	-0.123044323501186	1.30196105398267	0.01171875	21.9997757752129	0	0	6.52246129250126	0	0.511411819504334	0	0	0	0	0	0	0	-0.693525202227875	0.986472854690427	0.00278902180708703	0.751225579109329	-0.713890896192294	-0.120071741565087	0.0467747900665533	-0.0198890869212282	1.40252899108864	-1.25474602826753	0.493389437627644	0.569223505778497	0.59177973606007	0.0566909002517123	0.512808894734677	0.293179239148894	0.648145536991564	0.61635031970447	0.0190687305994735	1.04140801923982	0.129595324852024	0	0	0	0	2	0	0	0	0	0	0	butadiene,dicarboxylate,diethyl	-2.18	0.82
5	*****	54.1	5.41	1.12456	2	0.111111111111111	2	0	0	0	0	0	1.14982991426106	0.5	0.225682369540264	0.5	0	0	1.37095059445467	0	0	0	0	-0.166666666666667	-0.166666666666667	0	0	-0.166666666666667	0.666666666666666	-0.305555555555556	0.9375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.937694201654165	0	0.132368826546479	-0.454194770808477	-0.272771514040822	-0.0198011066901212	0.0277811576152043	-0.109071665016186	0.110740841462035	1	1	0.576567220318314	0	0.461436496515256	0.204452925965796	0.5	0.514370803636517	0	0.706172957529104	0.15521074035829	0	0	0	0	0	0	0	0	0	0	0	butadiene.mol2	-0.3	0.4
6	*****	138.18	6.909	1.12474	3	0.210526315789474	4	0	0	0	0	1	0.972741415035894	1	0.00875695474241301	0.260243903759188	0.197133732421557	0.12742736942483	2.86386512195085	0.109009065909564	0.0325635636671029	0.0250519698407425	-0.0238949788993666	-0.0051016856052169	-0.130117141149701	-0.541928525765019	0.0957516580927946	-0.0975257766987397	-0.0716447397510599	-0.196029514278011	1.21332854247288	0.015625	10.9998878876064	0	0	3.26123064625063	0	-0.953515669121977	0	0	0	0	-1.67439541327609	0	0	0	0.977333424739693	0.00274060134538565	0.627189432115315	-0.440074664782879	-0.307295902299374	0.0602188607404177	-0.0193099121019054	0.359143736444347	-0.530215465446061	0.187901824709108	1	0.55601549389915	0.0190694283987297	0.489994600647144	0.245986496390565	0.939794000867204	0.426860046192998	0.044021710587391	1.12494710229107	0.342036640684559	0	0	0	0	0	1	0	0	0	0	0	Butadiene-1-carboxylate,ethyl.mol2	-2.57	0.92
7	*****	173.18	8.659	1.108135	3	0.0476190476190476	3	1	0	0	1	5	0.82484128614953	0.5	-0.00136628807868868	0.174056816605968	0.114506586777956	0.0727560285017887	2.6393538721672	0.0834643007955969	0.0317775045341198	0	-0.422859437293457	-0.0227607908548047	-0.0638211028913344	0.304428051247941	0.483539581602067	-0.202680677417006	0.0300581054616336	0.0444415582553752	0.971388628167808	0	6.3711499014801	0	0	7.65600937575993	0.324977857195476	1.2623863053288	0	0	0	0	0	0	0	-0.5	1.04013925573271	0.0491443656986856	0.443956873782213	0.222149882873554	0.0970241582432185	0.248460849017386	-0.0290206927286363	1.64429461870906	-1.36544148550441	0.187901824709108	1	0.530914012487223	0	0.518796051145767	0.223379690377769	0.859582436003937	0.295831953548657	0.0332604751882553	3.09993143680282	0.0852852016863965	0	0	0	0	0	1	0	0	0	0	1	phthalimide,N-vinyl	-0.33	-0.8
8	*****	145.41	16.1566666666667	1.11973333333333	4	0	1	0	0	0	0	2	1.43865813216012	0.5	0.0977796894736965	0.353553390593274	0	0	2.11328333429487	0.0395359263654034	0.00556354226570986	0.0811563181852399	0	-0.0300665280675751	-1.2594677754594	0	0	-1.37680573651589	0	-0.308009440548125	1.19241630908638	0	0	0	0	3.29339032562149	2.55434393362027	0	-0.83	-0.83	0	0	0	0	0	0	1.08225886356423	0.0551875478337479	0.0812182155341721	0.0319864764303329	-0.227156012334273	-0.21307623473456	0.119195187214376	0.316371157966334	-1.29651194826399	0.239812466568131	1	0.624013979821913	0.429414087875815	0.390705096238306	0.456323437109871	0.871049064255153	0.979645888002123	0	4.71395227227648	0.243170789558167	0	0	0	0	0	0	0	0	0	0	0	Propene,3,3,3-trichloro.mol2	-2.35	-0.84
9	*****	148.17	7.79842105263158	1.10945263157895	3	0.105263157894737	2	0	0	0	0	3	0.871642247205411	0.75	-0.00480202551320452	0.213223178051872	0.14144668516511	0.0866352574165468	2.68732306847499	0.0198722884752347	0.0257983468298093	0.0211239646228203	0.352994088021716	-0.0931422654187714	-0.158592050400171	-0.538774297528989	-1.07356919123836	-0.312336318723698	0.152102666730008	-0.0335550839416929	0.681539285717818	0	6.3711499014801	0	0	1.65079589947669	0	-1.04610282632514	0	0	0	0	0	0	-1.43666279968544	0	1.07765048718829	0.0994627579053985	1.30738271020618	-0.0193251499327471	-0.296611722912692	0.0327216686087609	-0.083852804583287	0.499023094747476	1.85440005471015	0.224271055825639	0.508426177250415	0.50086217979962	0.146875769230324	0.526077129537992	0.291629507472021	0.894885517702587	0.675736631517024	0.0719223653580713	2.55339117365985	0.18212096053484	0	0	0	0	0	0	0	0	0	0	0	p-Vinylbenzoicacid.mol2	-1.03	0.5
10	*****	119.18	6.62111111111112	1.11995	2	0.0555555555555556	1	1	0	0	0	2	0.962717985471643	0.666666666666667	-0.0130583221622429	0.218529032528301	0.148501280257298	0.102401868555693	2.77995000096154	0.112751298082051	0.00461235583425852	0.115364350605482	0.0226450058547374	0.0663579175159947	-0.300725986130906	0.533050388012786	0	-0.169953431264624	-0.342981410776504	-0.262552728256201	2.12409158284035	0	5.51349510705008	0	0	1.47058823529412	0	-1.79122245529565	0	0	0	0	0	0	0	0	0.99212170961487	0.0524370260097271	0.35425223584831	-0.494946011699083	-0.0460628800780047	-0.0434794236780462	0.0658907785318922	-0.131957716242611	0.275412254279697	0.229653497467914	0.677602189331271	0.575731020818762	0.0201676910252332	0.505208758211484	0.261419888667984	0.859793388095232	0.295317075367296	0.0256268972957615	0.90985457023514	0.359888434992632	0	0	0	0	0	0	0	2	0	3	0	pyridine,2-methyl-5-vinyl.mol2	-1.04	0.28
